short_name,character,unicode,categories,search_keyword
suitcase,,/e13a,"objects,travel","travel,suitcase,business trip,personal,possessions,articles,items,collection"
simulate,,/e13b,"actions,devices,objects","calculator,calculate,count,numbers,counting,simulate,divide,calculation,tot up,digits,algorithm,mathematician,mathematics"
shield,,/e13c,objects,"authority,legitimate,official,important,protection,defense,security"
share-2,,/e13d,actions,"share,distribute,share with connections"
sales-quote,,/e13e,"documents,money","document,page,file,text,sales,money,bill,details,quote"
repost,,/e13f,"actions,arrows","post again,circulate"
provision,,/e140,"charts,tables","analytics,chart,display,data,table,columns,rows,grid,settings,modify,customize"
projector,,/e141,"actions,devices,objects","beamer,projector,show,movie,presentation,keynote"
add-product,,/e142,"actions,objects","product,box,package,unit,inventory,add,plus,additional,another,more"
pipeline-analysis,,/e143,"charts,objects","analytics,chart,display,data,kebab"
add-photo,,/e144,"actions,objects","camera,photograph,device,image,snap shot,add,plus,additional,another,more"
palette,,/e145,objects,"palette,paint,color,spot,mixing,artist,theme,design"
nurse,,/e146,"medical,people","nurse,medical,cross,emergency,hospital"
sales-notification,,/e147,"callout,money","bubble,sales,notification"
mileage,,/e148,objects,"mileage,tank,petrol,fuel,fill up,gas,station"
meeting-room,,/e149,people,"meeting,room,collaborate,colleagues,teamwork,peer to peer"
media-forward,,/e14a,"actions,arrows","forward,media,arrow,end,finish"
media-play,,/e14b,"actions,arrows","play,media,arrow"
media-pause,,/e14c,"actions,arrows","pause,media,arrow"
media-reverse,,/e14d,"actions,arrows","reverse,media,arrow"
media-rewind,,/e14e,"actions,arrows","rewind,media,arrow,start,back"
measurement-document,,/e14f,objects,"measure,weight,scale,precision,technical,calibrate,calibration,calculation"
measuring-point,,/e150,objects,"measure,point,scale,precision,arrow"
measure,,/e151,objects,"measure,weight,scale,precision,technical,calibrate,calibration,calculation"
map-3,,/e152,"objects,places","map,card,x marks the spot,treasure,navigation,hunt,find,destination,location"
locked,,/e153,"actions,objects,status","locked,padlock,private,status,in use,forbidden,restricted,safe"
letter,,/e154,objects,"letter,mail,post,postal,envelope,address,contact,correspondence"
journey-arrive,,/e155,"actions,arrows","journey,arrive,arrow,placement"
journey-change,,/e156,"actions,arrows","journey,change,direction,arrow,placement"
journey-depart,,/e157,"actions,arrows","journey,depart,arrow,move,placement"
it-system,,/e158,"devices,objects","server,it,machine,computer,technology,device,system"
it-instance,,/e159,"devices,objects","server,it,machine,computer,technology,device,instance"
it-host,,/e15a,"devices,objects","server,it,machine,computer,technology,device,host"
iphone-2,,/e15b,"devices,objects","iphone,phone,smart phone,landscape,tablet,mobile,responsive,cozy"
ipad-2,,/e15c,"devices,objects","ipad,landscape,tablet,mobile,responsive,cozy"
inventory,,/e15d,transport,"inventory,truck,wrench,tools"
insurance-house,,/e15e,documents,"document,page,file,attachment,insurance,house"
insurance-life,,/e15f,documents,"document,page,file,attachment,insurance,life"
insurance-car,,/e160,documents,"document,page,file,attachment,insurance,car"
initiative,,/e161,"arrows,objects","initiative,initiate,begin,enter,right,arrow,circle"
incident,,/e162,status,"incident,question,message"
group-2,,/e163,actions,"group,data,aggregate,list,table"
goal,,/e164,objects,"goal,target,result,objective,aim"
functional-location,,/e165,objects,"arrow,locate,me,map,location,pointer,navigation,functional"
full-screen,,/e166,actions,"full,screen,arrow"
form,,/e167,form,"form,details,text"
fob-watch,,/e168,objects,"fob watch,time,stop watch,timer,countdown"
blank-tag,,/e169,objects,"tag,label,marker,indicator,blank"
family-protection,,/e16a,people,"family,protection,people,house,roof,family"
folder,,/e16b,folder,"folder,details,directory,library"
fax-machine,,/e16c,"actions,devices","fax,machine,communicate"
example,,/e16d,objects,"example,dots,cicles,individual,odd"
eraser,,/e16e,actions,"pencil,pen,erase,remove,undo,text"
employee-rejections,,/e16f,"people,status","person,x,rejections,employee,hr,human resources"
drop-down-list,,/e170,"actions,arrows,tables","dropdown,list,arrow,drop down,view,view settings,view-settings,table,list,sort,filter,group,settings"
