unicode,character,short_name,search_keyword
&#xe82f,,watchlist,"stock market arrow, arrow, trend up, watchlist, watch list"
&#xe82e,,watchlist-add,"trend up, stock market arrow, stock mark, add to watch list, watch list, watchlist"
&#xe6a3,,waterfall-rows,"waterfall, waterfall chart, chart, chart widget, horizontal chart, horizontal waterfall chart, horizontal, waterfall-rows, &#xe6a3"
&#xe7a2,,working-model,"working, model, working model"
&#xe7a4,,wrangling,"wrangling"
&#xe713,,zoom-in,"zoom, in, zoom in, zoom-in"
&#xe647,,zoom-out,"zoom, out, zoom out, zoom-out, &#xe647"
&#xe855,,threshold,"threshold, pointer, &#xe855"
&#xe856,,blended-calculation,"blended, blending, calculation, function, formula, link, calculate, blend, linked, fx, &#xe856"
&#xe857,,advanced-calculation-engine,"calculation, definition, data-center, &#xe857"
&#xe858,,included,"included, select, add, insert, combine, comprehend, &#xe858"
&#xe859,,excluded,"excluded, remove, deselect, rule-out, obviate, eliminate, &#xe859"
