short_name,character,unicode,search_keyword
timeseries-waterfall-chart,,0xe134,"charts,time,status"
expand-collapse-level-2,,0xe135,
expand-collapse-level-3,,0xe136,
recycle,,0xe137,
stages-warning,,0xe138,
empty-warning,,0xe139,
ps-text,,0xe140,
activity,,0xe141,
activity-element,,0xe142,
transformer,,0xe143,
generation,,0xe144,
consumer,,0xe145,"component,activity,product,confirmed"
storage,,0xe146,
circuit-breaker,,0xe147,
grid,,0xe148,
applied_filter,,0xe149,
thumb-sideway,,0xe14a,"actions,callout,status"
thumb-sideway-filled,,0xe14b,"actions,callout,status"
thumb-up-filled,,0xe14c,"actions,callout,status"
thumb-down-filled,,0xe14d,"actions,callout,status"
multi-container,,0xe14e,"objects,travel,things,transport"
network-header,,0xe150,"component,network,activity,project,structure,hierarchy"
late,,0xe151,"component,time,activity,product"
created,,0xe152,"component,activity,product,created"
dispatched-deallocate,,0xe153,"component,activity,product,created,dispatched,deallocate"
confirmed,,0xe154,"component,oil,gas,product"
unfirmed,,0xe155,"component,activity,product,unfirmed,status"
firmed,,0xe156,"component,activity,product,firmed,status"
unsaved-changes,,0xe157,"component,activity,product,unsaved,changes,status"
project-definition-2,,0xe158,"component,activity,product,project,changes,status"
asterisk,,0xe159,"things,actions,time,table,text"
equal,,0xe15a,"actions,time,table,text"
not-equal,,0xe15b,"actions,time,table,text"
fixed-cell,,0xe15d,"actions,things,objects,status"
partially-fixed-cell,,0xe15d,"actions,things,objects,status"
stripes-pattern,,0xe15e,
feature-dictionary,,0xe15f,
variant-planning,,0xe160,
requirement-model,,0xe161,
bottle,,0xe162,
bottle-cap,,0xe163,
pallet,,0xe164,
foil,,0xe165,
tray,,0xe166,
unknown-dependency,,0xe167,"status,things,relationship,configuration,node,dependency,unknown,class node"
layer,,0xe168,"objects,layer,grid"
move-folder,,0xe169,"actions,arrows,folder"
remove-folder,,0xe16a,"actions,folder,remove"
match-case,,0xe16b,"actions,text"
match-whole-word,,0xe16c,"actions,text,match,word"
remove-total,,0xe16d,"sum,total,remove"
after-total,,0xe16e,"sum,arrow,actions"
before-total,,0xe16f,"sum,arrow,actions"
workbook-filter,,0xe170,"actions,documents,folder,filter,book"
update-filter,,0xe171,"actions,filter,arrow"
cell-lock,,0xe172,"objects,things,actions,status,lock,cell,private"
monitor-assembly-sequence,,0xe173,"factory,process,arrow,assembly,monitor,sequence"
monitor-just-in-time-calls,,0xe174,"time,status,time,monitor"
manage-charging-stations,,0xe175,"charging,stations,EV,things"
district-heating,,0xe176,"heat,status,winter,things"
producer-switch,,0xe177,"switch,status,producer"
consumer-switch,,0xe178,"switch,consumer,status"
storage-switch,,0xe179,"switch,status,storage"
repeatable,,0xe17a,"actions,copy,duplicate"
max-container,,0xe17b,"container,scale,max,logistics,shipping"
max-interval,,0xe17c,"arrow,interval,intend,align"
min-interval,,0xe17d,"arrow,interval,intend,align"
cross-order,,0xe17e,"cross,disable,dot,circle"
empty-order,,0xe17f,"order,empty,status,circle,line"
cross-sequence,,0xe180,"tree,disable,cross,circle"
empty-sequence,,0xe181,"tree,empty,circle"
cross-union,,0xe182,"cross,disable,circle,union"
empty-union,,0xe183,"cross,disable,circle,union,empty"
ross-target,,0xe184,"circle,dot,disable"
non-stackable,,0xe185,"disable,cross,duplicate,copy"
